symbol,companyName,sector,industry,exchange,ceo,description,website,mktCap,volAvg,beta,price
NOMD,Nomad Foods Limited,Consumer Defensive,Consumer Packaged Goods,New York Stock Exchange,Stefan Descheemaeker,"Nomad Foods Ltd is a frozen foods company. The company along with its subsidiaries produces, markets and distributes brands in approximately 17 countries and has a market share in Western Europe. Its brands includes Birdseye, Iglo, and Findus.",http://www.nomadfoods.com,4.25787981E9,1561165,1.0,21.17
ANTM,Anthem Inc.,Healthcare,Health Care Plans,New York Stock Exchange,Gail Koziara Boudreaux,"Anthem Inc is a health benefits company offering a network-based managed care plans to the large and small employer, individual, Medicaid and Medicare markets. Its business segments are Commercial and Specialty Business, Government Business and Other.",http://www.antheminc.com,6.7962913E10,2374023,0.764755,269.57
PAY,Verifone Systems Inc.,Industrials,Industrial Products,New York Stock Exchange,Paul S. Galant,"VeriFone Systems Inc sells hardware and complementary software and services that enable merchants to accept electronic payments at the point of sale. Its products are used in the retail, gas station, restaurant, and taxi environments, among others.",http://www.verifone.com,2579920000.00,1463664,1.533325,23.04
SFIX,Stitch Fix Inc.,Consumer Cyclical,Retail - Apparel & Specialty,Nasdaq Global Select,Katrina Lake,"Stitch Fix Inc offers personal style service for men and women. It offers women's, petite, maternity, men's, plus apparel, as well as shoes and accessories.",https://www.stitchfix.com,1.5873687E9,3020803,3.292971,15.49
CCE,Coca-Cola European Partners plc,Consumer Defensive,Beverages - Non-Alcoholic,New York Stock Exchange,Damian P. Gammell,Coca-Cola European Partners PLC is a soft drinks manufacturer. It produces and markets non-alcoholic beverages in the European region.,http://www.cokecce.com,22574159985.08,1539841,0.574116,46.73
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,New York Stock Exchange,Phebe N. Novakovic,"General Dynamics Corp is an aerospace and defense company. It offers products and services in business aviation including combat vehicles, weapons systems and munitions, shipbuilding, and communication and information technology services and solutions.",http://www.generaldynamics.com,3.7089223E10,2282023,1.129307,127.8
KIM,Kimco Realty Corporation,Real Estate,REITs,New York Stock Exchange,Conor C. Flynn,Kimco Realty Corp is real estate investment trust that owns and operates neighborhood and community open-air shopping centers in North America.,http://www.kimcorealty.com,4.5846062E9,6870744,0.576728,10.6
FNF,FNF Group of Fidelity National Financial Inc.,Financial Services,Insurance - Specialty,New York Stock Exchange,Raymond R. Quirk,"Fidelity National Financial Inc is a title insurance company. It provides title insurance, escrow, and other title-related services. The firm also provides technology and transaction services to the real estate and mortgage industries.",http://www.fnf.com,7.0750848E9,3427293,0.780775,26.01
BXMT,Blackstone Mortgage Trust Inc.,Real Estate,REITs,New York Stock Exchange,Stephen D. Plavin,Blackstone Mortgage Trust Inc is a real estate company. It originates and purchases senior mortgage loans collateralized by properties in North America and Europe.,http://www.blackstonemortgagetrust.com,3.10100582E9,2756057,0.546374,22.91
NWS,News Corporation,Consumer Cyclical,Entertainment,Nasdaq Global Select,Robert Thomson,News Corp is a diversified media and information services company focused on creating and distributing authoritative and engaging content to consumers and businesses.,http://www.newscorp.com,5.5918367E9,1068669,1.473861,9.7
CHD,Church & Dwight Company Inc.,Consumer Defensive,Consumer Packaged Goods,New York Stock Exchange,Matthew T. Farrell,"Church & Dwight Co Inc is engaged in the household products industry. It manufactures and markets personal care products under brands like Oxiclean, Spinbrush, First Response and Trojan.",http://www.churchdwight.com,1.75041679E10,1987846,0.097807,71.22
DLR,Digital Realty Trust Inc.,Real Estate,REITs,New York Stock Exchange,A. William Stein,Digital Realty Trust Inc is a real estate investment trust. It owns and operates IT-related properties includes datacenter infrastructure that supports the applications and day-to-day operations of social networking and mobile communications.,http://www.digitalrealtytrust.com,3.913735E10,3889203,0.36172,145.92
IP,International Paper Company,Consumer Cyclical,Packaging & Containers,New York Stock Exchange,Mark S. Sutton,"International Paper Co produces and distributes printing paper, packaging, forest products, and chemical products. The company operates in three segments namely; Industrial Packaging, Printing Papers, and Global Cellulose Fibers.",http://www.internationalpaper.com,1.33412454E10,3949850,1.537942,33.91
CLI,Mack-Cali Realty Corporation,Real Estate,REITs,New York Stock Exchange,Michael J. DeMarco,"Mack-Cali Realty Corp is a part of the real estate sector. As a self-managed real estate investment trust, it is engaged in the leasing, management, acquisition and development works.",http://www.mack-cali.com,1.38067546E9,1043015,1.031197,15.24
SE,Sea Limited American Depositary Shares each representing one Class A,Technology,Application Software,New York Stock Exchange,Forrest Xiaodong Li,"Sea Ltd is a holding company. The company through its subsidiaries is engaged in the digital entertainment, e-commerce and digital financial service businesses in Greater Southeast Asia.",http://www.seagroup.com,2.55316419E10,4776682,1.414024,54.78
CC,Chemours Company (The),Basic Materials,Chemicals,New York Stock Exchange,Mark P. Vergnano,"The Chemours Co is a chemical manufacturing company that produces and develops titanium technologies, fluoroproducts and chemical solutions. It also produces refrigerants and industrial resins.",http://www.chemours.com,1.79406106E9,3738780,2.455364,10.93
DAN,Dana Incorporated,Consumer Cyclical,Autos,New York Stock Exchange,James K. Kamsickas,"Dana Inc provides technology driveline, sealing and thermal-management products for vehicle manufacturers in the light vehicle, medium/heavy vehicle and off-highway markets.",http://www.dana.com/investors,1.55717094E9,2277007,2.241989,10.78
ZBH,Zimmer Biomet Holdings Inc.,Healthcare,Medical Devices,New York Stock Exchange,Bryan C. Hanson,"Zimmer Biomet Holdings Inc is a medical device company. It designs, manufactures, and markets orthopedic reconstructive implants, as well as supplies and surgical equipment for orthopedic surgery under brands like NexGen, Persona, Zimmer, and Polaris.",http://www.zimmerbiomet.com,2.40267817E10,2012726,1.155143,116.25
NVAX,Novavax Inc.,Healthcare,Biotechnology,Nasdaq Global Select,Stanley Charles Erck,"Novavax Inc is a clinical-stage vaccine company. It is engaged in the discovery, development and commercialization of recombinant nanoparticle vaccines and adjuvants.",http://www.novavax.com,8.9299411E8,7878960,1.974704,17.33
LPX,Louisiana-Pacific Corporation,Basic Materials,Building Materials,New York Stock Exchange,William Bradley Southern,"Louisiana-Pacific Corp is a building products manufacturer used in home construction. The Company's business segments are North America Oriented Strand Board, Siding, Engineered Wood Products and South America.",http://www.lpcorp.com,2.18841728E9,1788290,1.438448,19.51
BBY,Best Buy Co. Inc.,Consumer Cyclical,Retail - Apparel & Specialty,New York Stock Exchange,Hubert Joly,"Best Buy Co Inc is a U.S transnational consumer electronics company. Its products include tablets and computers, televisions, mobile phones, large and small appliances, entertainment products, digital imaging and related accessories.",http://www.bestbuy.com,1.86071675E10,3017711,1.138279,72.26
GRUB,GrubHub Inc.,Technology,Online Media,New York Stock Exchange,Matthew M Maloney,"GrubHub Inc is the online and mobile platform for restaurant pick-up and delivery orders. The company provides restaurants with more orders, helps to serve diners better and facilitates delivery logistics in many markets.",https://www.grubhub.com,4.1812864E9,3461220,1.199831,45.49
BG,Bunge Limited,Consumer Defensive,Consumer Packaged Goods,New York Stock Exchange,Soren Schroder,Bunge Ltd is an agribusiness and food company with integrated operations. It acts as an oilseed processor and seller of packaged vegetable oils. The company also grows and processes Brazilian sugarcane to produce sugar and ethanol.,http://www.bunge.com,5.3859118E9,1540101,0.868465,37.89
LC,LendingClub Corporation,Financial Services,Credit Services,New York Stock Exchange,Scott C. Sanborn,LendingClub Corp is an online marketplace connecting borrowers and investors to engage in transactions relating to standard or custom program loans.,https://www.lendingclub.com,5.072504E8,1039352,1.61973,7.26
PWR,Quanta Services Inc.,Industrials,Engineering & Construction,New York Stock Exchange,Earl C. Austin,Quanta Services Inc is a provider of specialty contracting services. The company offers infrastructure solutions to the electric power and oil and gas industries in North America and in select international markets.,http://www.quantaservices.com,4.8159985E9,1882976,1.233558,34.97
DXCM,DexCom Inc.,Healthcare,Medical Diagnostics & Research,Nasdaq Global Select,Kevin R. Sayer,"DexCom Inc designs, develops and commercializes continuous glucose monitoring systems for ambulatory use by people with diabetes and for use by healthcare providers in the hospital for the treatment of both diabetic and non-diabetic patients.",http://www.dexcom.com,3.15376271E10,1386373,0.775716,341.52
NTCT,NetScout Systems Inc.,Technology,Application Software,Nasdaq Global Select,Anil K. Singhal,"NetScout Systems Inc offers real-time operational intelligence and performance analytics for service assurance and cyber security solutions used by service provider, enterprise and government networks.",http://www.netscout.com,1.90915699E9,592815,1.403878,25.85
RDC,Rowan Companies plc Class A,Energy,Oil & Gas - Drilling,New York Stock Exchange,Thomas Peter Burke,Rowan Companies PLC is an offshore drilling contractor firm. The company engages in drilling oil and gas properties on contractual basis and mainly serves the petroleum industry.,http://www.rowancompanies.com,1388745000.00,3234429,2.529703,10.94
NEM,Newmont Mining Corporation,Basic Materials,Metals & Mining,New York Stock Exchange,Gary J. Goldberg,"Newmont Mining Corp is engaged in the production of gold in the United States, Australia, Peru, Ghana and Suriname. It is also engaged in the production of copper, principally through Boddington in Australia and Phoenix in the United States.",http://www.newmont.com,4.9266995E10,9972174,-0.052276,60.99
BEN,Franklin Resources Inc.,Financial Services,Asset Management,New York Stock Exchange,Gregory E. Johnson,"Franklin Resources Inc is an investment management organization which provides investment management and related services to retail, institutional and high net-worth clients under Franklin, Templeton, Franklin Mutual Series, Franklin Bissett brand names.",http://www.franklinresources.com,8.9590712E9,6019433,1.25548,18.03
LUK,Leucadia National Corporation,Industrials,Conglomerates,New York Stock Exchange,Richard B. Handler,"Leucadia National Corp through its subsidiaries is engaged in investment banking and capital markets, commercial mortgage banking, asset management as well as beef processing, oil and gas exploration and development activities.",http://www.leucadia.com,16687170000.00,2044463,1.253655,23.47
SHLX,Shell Midstream Partners L.P. representing Limited Partner Interests,Energy,Oil & Gas - Midstream,New York Stock Exchange,John Hollowell,"Shell Midstream Partners LP owns, operates, develop and acquires pipelines and other midstream assets.",http://www.shellmidstreampartners.com,5.3094149E9,1727714,1.057335,13.5
CIVI,Civitas Solutions Inc.,Healthcare,Health Care Providers,New York Stock Exchange,Bruce F. Nardella,"Civitas Solutions Inc is a provider of home- and community-based health and human services to must-serve individuals with intellectual, developmental, physical or behavioral disabilities and other special needs.",http://www.civitas-solutions.com,657120000.00,240965,-0.02905,17.76
NAVI,Navient Corporation,Financial Services,Credit Services,Nasdaq Global Select,John F. Remondi,"Navient Corp is a financial service provider that offers business processing services to education, healthcare, and government clients at the federal, state, and local levels. The company also provides asset management services.",https://www.navient.com,1.36285005E9,2962512,2.155143,7.025
AET,Aetna Inc.,Healthcare,Health Care Plans,New York Stock Exchange,Mark T. Bertolini,"Aetna Inc is a diversified health care benefits company. The company offers traditional, voluntary and consumer-directed health insurance products and related services, including medical, pharmacy, dental, and behavioral health.",http://www.aetna.com,71120500000.00,2107092,0.681521,212.3
PBH,Prestige Brand Holdings Inc.,Consumer Defensive,Consumer Packaged Goods,New York Stock Exchange,Ronald Lombardi,Prestige Brands Holdings Inc is a healthcare company. Its core business involves the distribution of healthcare and household cleaning products to supermarkets and drug stores.,http://www.prestigebrandsinc.com,2.01314522E9,615230,0.90978,40.05
SBH,Sally Beauty Holdings Inc. (Name to be changed from Holdings Inc.),Consumer Cyclical,Retail - Apparel & Specialty,New York Stock Exchange,,"Sally Beauty Holdings Inc is a specialty retailer and distributor of professional beauty products with operations in North America, South America and Europe.",http://www.sallybeautyholdings.com,1.11530637E9,2636374,0.507588,9.55
SEP,Spectra Energy Partners LP representing Limited Partner Interests,Energy,Oil & Gas - Midstream,New York Stock Exchange,,"Spectra Energy Partners LP is a Houston-based master limited partnership. The company owns and operates natural gas transmission, gathering and storage assets, and crude oil transportation and storage assets in United States and Canada.",http://www.spectraenergypartners.com,10989500000.00,856579,0.908187,35.45
NI,NiSource Inc,Utilities,Utilities - Regulated,New York Stock Exchange,Joseph Hamrock,"NiSource Inc is an energy holding company, whose subsidiaries are fully regulated natural gas and electric utility companies serving customers in seven states.",http://www.nisource.com,9.3642527E9,4007926,0.075885,24.47
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers,New York Stock Exchange,David A. Ricks,"Eli Lilly and Co is a pharmaceutical company with a focus on neuroscience, endocrinology, oncology, and immunology. It discovers, develops, manufactures, and sells human pharmaceutical products and animal health products.",http://www.lilly.com,1.47029754E11,4849922,0.165261,153.63
STNG,Scorpio Tankers Inc.,Industrials,Transportation & Logistics,New York Stock Exchange,Emanuele A. Lauro,"Scorpio Tankers Inc acts as a provider in the transportation of refined petroleum products. The company operates its vessels in the Scorpio LR2 Pool, Scorpio Aframax Pool, Scorpio Panamax Pool, Scorpio MR Pool, and Scorpio Handymax Pool.",http://www.scorpiotankers.com,1.21392576E9,2493290,1.080101,20.69
TTWO,Take-Two Interactive Software Inc.,Technology,Application Software,Nasdaq Global Select,,"Take-Two Interactive Software Inc is a developer, marketer and publisher of interactive entertainment for consumers around the globe. It develops and publishes products through its two wholly-owned labels Rockstar Games and 2K.",http://www.take2games.com,1.39114537E10,2511447,0.693086,122.65
KLAC,KLA-Tencor Corporation,Technology,Semiconductors,Nasdaq Global Select,Richard P. Wallace,KLA-Tencor Corp designs and manufactures yield-management and process-monitoring systems for the semiconductor industry. The company also provides systems for optical metrology and e-beam metrology.,http://www.kla-tencor.com,2.35581297E10,1856779,1.678752,150.27
LADR,Ladder Capital Corp Class A,Real Estate,REITs,New York Stock Exchange,Brian Harris,"Ladder Capital Corp is an internally-managed real estate investment trust. The company invests in loans, securities and other interests in U.S. commercial real estate, with a focus on senior secured assets.",http://www.laddercapital.com,9.3144179E8,2978777,1.026981,7.73
FHN,First Horizon National Corporation,Financial Services,Banks,New York Stock Exchange,D. Bryan Jordan,"First Horizon National Corp is engaged in providing financial products and services, including traditional lending and deposit taking, to consumer and commercial customers.",http://www.firsthorizon.com,2.71008947E9,7050082,1.303541,8.69
GOOG,Alphabet Inc.,Technology,Online Media,Nasdaq Global Select,Larry Page,"Alphabet Inc is a provider of internet content products and portals. Its suite of brands includes Search, Android, YouTube, Apps, Maps & Ads.",https://www.abc.xyz,9.0081054E11,2490503,1.022765,1320.61
DVMT,Dell Technologies Inc. Class V,Technology,Application Software,New York Stock Exchange,Michael S. Dell,"Dell-VMWare Tracking Stock is an information technology company. The Company offers virtualization and cloud infrastructure solutions, which enable organizations to manage IT resources across complex multi-cloud, multi-device environments.",http://www.vmware.com,16193310000.00,1680617,1.277837,79.77
HSIC,Henry Schein Inc.,Healthcare,Medical Distribution,Nasdaq Global Select,Stanley M. Bergman,"Henry Schein Inc is a provider of healthcare products and services to office-based dental, animal health and medical practitioners. The company also serves dental laboratories, government and institutional health care clinics.",http://www.henryschein.com,7.4447258E9,2027180,0.779932,52.15
CXO,Concho Resources Inc.,Energy,Oil & Gas - E&P,New York Stock Exchange,Timothy A. Leach,"Concho Resources Inc is an oil and natural gas company. It is engaged in the acquisition, development, exploitation and exploration of producing oil and natural gas properties. It operates in the Delaware Basin.",http://www.concho.com,1.11591885E10,2987303,1.310286,56.73
RSG,Republic Services Inc.,Industrials,Waste Management,New York Stock Exchange,Donald W. Slager,"Republic Services Inc is the provider of solid waste management services in the United States. In addition, the company operates landfill gas-to-energy projects, as well as an exploration and production waste business.",http://www.republicservices.com,2.46162698E10,1652984,0.498313,77.13
BIG,Big Lots Inc.,Consumer Defensive,Retail - Defensive,New York Stock Exchange,David J. Campisi,"Big Lots Inc is engaged in operating discount retail stores. It provides a broad range of merchandise, including food, consumables, soft home products, hard home products, furniture, electronics and accessories, and seasonal products.",http://www.biglots.com,9.4078413E8,2082806,1.287521,24.02
PAYC,Paycom Software Inc.,Technology,Application Software,New York Stock Exchange,Chad Richison,Paycom Software Inc is a provider of cloud-based HCM software solution delivered as Software-as-a-Services. It provides functionality and data analytics that businesses need to manage the complete employment life cycle from recruitment to retirement.,http://www.paycom.com,1.39249326E10,1138192,1.288364,241.66
GCP,GCP Applied Technologies Inc.,Basic Materials,Chemicals,New York Stock Exchange,Gregory E. Poling,"GCP Applied Technologies Inc produces and sells specialty construction chemicals, specialty building materials, and packaging sealants and coatings. The company earns the majority of its revenue from sale of concrete admixtures and cement additives.",http://www.gcpat.com,1.24223987E9,308279,0.880037,17.04
YUM,Yum! Brands Inc.,Consumer Cyclical,Restaurants,New York Stock Exchange,Greg Creed,"Yum Brands Inc is engaged in operating quick-service restaurant systems. The company's restaurant brands includes KFC, Pizza Hut and Taco Bell .",http://www.yum.com,2.52184289E10,3015471,0.339797,83.81
STZ,Constellation Brands Inc.,Consumer Defensive,Beverages - Alcoholic,New York Stock Exchange,Robert Sands,"Constellation Brands Inc is engaged in the beverage industry. Its core products are alcoholic drinks such as beers, wines and other spirits.",http://www.cbrands.com,3.09741036E10,2007247,0.650927,161.57
LBTYK,Liberty Global plc,Communication Services,Communication Services,Nasdaq Global Select,Michael T. Fries,"Liberty Global PLC is a holding company engaged in making investments into international television and broadband companies. Through its subsidiaries, it offers telecommunication, broadband services and cable network.",http://www.libertyglobal.com,1.38319104E10,4216428,1.381112,21.49
MEOH,Methanex Corporation,Basic Materials,Chemicals,Nasdaq Global Select,John N. Floren,"Methanex Corp is engaged in the production of chemicals. Its primary product is methanol, a commodity chemical that is used to make a range of industrial, consumer and energy products.",http://www.methanex.com,1.17691302E9,809511,2.007692,15.38
GIII,G-III Apparel Group LTD.,Consumer Cyclical,Manufacturing - Apparel & Furniture,Nasdaq Global Select,Morris Goldfarb,"G-III Apparel Group Ltd designs, manufactures & markets apparel, including outerwear, dresses, sportswear, swimwear, women's suits & women's performance wear, as well as footwear, luggage & women handbags, small leather goods & cold weather accessories.",https://www.giii.com,4.82493472E8,1257085,1.586846,10.05
USFD,US Foods Holding Corp.,Consumer Defensive,Retail - Defensive,New York Stock Exchange,Pietro Satriano,"US Foods Holding Corp through its subsidiaries is engaged in marketing and distribution of fresh, frozen and dry food and non-food products to food service customers throughout the United States.",http://www.usfoods.com,4.28887066E9,4222863,0.45463,19.47
SFM,Sprouts Farmers Market Inc.,Consumer Defensive,Retail - Defensive,Nasdaq Global Select,Amin N. Maredia,"Sprouts Farmers Market Inc is US based company which operates as a specialty retailer of natural and organic food. It offers products including fresh produce, bulk foods, vitamins and supplements, bakery, and body care and natural household items.",https://www.sprouts.com,2.47195034E9,2655906,0.363406,21.03
THC,Tenet Healthcare Corporation,Healthcare,Health Care Providers,New York Stock Exchange,Ronald A. Rittenmeyer,"Tenet Healthcare Corp is a healthcare service provider in the US. The company operates acute-care hospitals that includes ambulatory surgery centers, diagnostic imaging centers, and urgent care centers across United States.",http://www.tenethealth.com,1.82819469E9,2586771,1.798482,17.49
DOC,Physicians Realty Trust of Beneficial Interest,Real Estate,REITs,New York Stock Exchange,John T. Thomas,"Physicians Realty Trust is a real estate investment trust. It focusses its investments on healthcare facilities such as hospitals, medical office buildings and diagnostic facilities located in the United States.",http://www.docreit.com,2.94922982E9,2630633,0.389544,14.56
ALLY,Ally Financial Inc.,Financial Services,Banks,New York Stock Exchange,Jeffrey J. Brown,Ally Financial Inc is a US based financial service provider. It mainly serves automotive dealers and their retail customers. The company through its subsidiary operates insurance and corporate finance business.,http://www.ally.com,5.8100388E9,7099057,1.270657,15.57
QRVO,Qorvo Inc.,Technology,Semiconductors,Nasdaq Global Select,Robert A. Bruggeworth,"Qorvo Inc is a semiconductor product manufacturer. It sells its products to companies engaged in the telecommunication, infrastructure and defense industries.",http://www.qorvo.com,1.07760579E10,2060793,1.106239,93.15
AVP,Avon Products Inc.,Consumer Defensive,Consumer Packaged Goods,New York Stock Exchange,Jan Zijderveld,"Avon Products Inc is involved in the household products market. It lays emphasis on manufacturing beauty products including skincare, fragrance, personal care and hair care. The company owns brands such as ANEW, Avon Color and Avon Care.",http://www.avoncompany.com,2.48087834E9,156643082,1.801854,5.6
EVR,Evercore Inc. Class A,Financial Services,Brokers & Exchanges,New York Stock Exchange,Ralph L. Schlosstein,"Evercore Inc is an investment banking and investment management firm. It provides financial advisory services to clients on mergers, acquisitions, divestitures and other strategic corporate transactions.",http://www.evercore.com,2.02394752E9,722915,1.998313,49.93
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated,New York Stock Exchange,Patricia Kessler Poppe,CMS Energy Corp is utility company operating in Michigan. It is engaged in independent power production and owns power generation facilities fueled by natural gas and renewable sources.,http://www.cmsenergy.com,1.60140646E10,2788171,0.052276,55.95
DOX,Amdocs Limited,Technology,Application Software,Nasdaq Global Select,Eli Gelman,"Amdocs Ltd is engaged in the software industry. Its software products and services cater to the communications, media and entertainment industry.",http://www.amdocs.com,8.4946893E9,1118692,0.395446,63.12
RIO,Rio Tinto Plc,Basic Materials,Metals & Mining,New York Stock Exchange,Jean-Sebastien Jacques,"Rio Tinto PLC is a mining and exploration company. It discovers, mines, processes and supplies metals and minerals used in everyday modern life. Its main products include Bauxite, Alumina, Copper, Gold, Molybdenum, Silver, Nickel, and Diamonds.",http://www.riotinto.com,7.4858734E10,3058169,0.81979,45.04
PDM,Piedmont Office Realty Trust Inc. Class A,Real Estate,REITs,New York Stock Exchange,Donald A Miller,Piedmont Office Realty Trust Inc is a real estate investment trust. It is engaged in the acquisition and ownership of commercial real estate properties throughout the United States.,http://www.piedmontreit.com,2.1091767E9,1144666,0.682124,16.75
KMT,Kennametal Inc.,Industrials,Industrial Products,New York Stock Exchange,,"Kennametal Inc is engaged in developing and manufacturing metalworking tools and wear-resistant engineered components and coatings. The company's operating segments include Industrial, Widia and Infrastructure.",http://www.kennametal.com,1.9497632E9,1265596,2.318718,23.52
HP,Helmerich & Payne Inc.,Energy,Oil & Gas - Drilling,New York Stock Exchange,John W. Lindsay,"Helmerich & Payne Inc is engaged in contract drilling of oil and gas wells for oil and gas exploration and production companies. Its business comprises of three reportable segments, U.S. Land, Offshore and International Land.",http://www.hpinc.com,1.85360499E9,3292682,1.655986,16.81
FLR,Fluor Corporation,Industrials,Engineering & Construction,New York Stock Exchange,David T. Seaton,"Fluor Corp is an engineering company that provides procurement, construction and maintenance as well as project management services to a range of customers including oil and gas, manufacturing, and mining companies, along with the U.S. federal government.",http://www.fluor.com,1.42977472E9,4128476,2.229342,10.2
BFR,BBVA Banco Frances S.A.,Financial Services,Banks,New York Stock Exchange,Martin Ezequiel Zarich,BBVA Banco Frances SA is a bank operating in Argentina. It operates over 200 branches across the country and offering financial services to corporations and individual consumers.,https://www.bancofrances.com.ar,2123520000.00,230935,0.342978,11.06
JHG,Janus Henderson Group plc,Financial Services,Asset Management,New York Stock Exchange,Richard Weil / Andrew James Formica,"Janus Henderson Group PLC is an investment management company. It invests in equities, fixed income, property, and private equity.",http://www.janushenderson.com,3.24339174E9,1797633,1.34924,17.54
FDX,FedEx Corporation,Industrials,Transportation & Logistics,New York Stock Exchange,Frederick W. Smith,"FedEx Corp is the world's largest express courier delivery firm. The company provides courier services through various divisions which include express, ground, office, freight, cross border, trade networks and supply chain.",http://www.fedex.com,3.08797501E10,3201277,1.713322,118.2
EMN,Eastman Chemical Company,Basic Materials,Chemicals,New York Stock Exchange,Mark J. Costa,"Eastman Chemical Co is a advanced materials and specialty additives company that is engaged in producing and selling a portfolio of chemicals, plastics and fibers.",http://www.eastman.com,8.1563581E9,1605653,1.390387,60.02
LNG,Cheniere Energy Inc.,Energy,Oil & Gas - Midstream,NYSE American,Jack A. Fusco,Cheniere Energy Inc is a Houston-based energy company primarily engaged in LNG-related businesses. It owns and operates the Sabine Pass LNG terminal in Louisiana. The business segments are LNG terminal business and LNG and natural gas marketing business.,http://www.cheniere.com,1.09024604E10,3539690,1.161045,43.25
WU,Western Union Company (The),Financial Services,Banks,New York Stock Exchange,Hikmet Ersek,"The Western Union Co is a provider of money movement and payment services. The company provides flexible and convenient options for making one-time or recurring payments. Its segments are Consumer-to-Consumer, Consumer-to-Business and Business Solutions.",http://www.westernunion.com,7.6093312E9,8535820,0.814502,18.52
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Equipment,New York Stock Exchange,Jose E. Almeida,"Baxter International Inc operates in the healthcare industry. It provides renal and hospital products such as infusion systems and systems, parenteral nutrition therapies, and biosurgery products.",http://www.baxter.com,4.4552974E10,3411639,0.903878,87.84
AOBC,American Outdoor Brands Corporation,Industrials,Aerospace & Defense,Nasdaq Global Select,,"American Outdoor Brands Corp manufactures firearms. It manufactures handguns, modern sporting rifles, hunting rifles, black powder firearms, handcuffs, and firearm-related products and accessories.",http://www.aob.com,5.17641984E8,1324830,0.34317,9.4
NUAN,Nuance Communications Inc.,Technology,Application Software,Nasdaq Global Select,Paul A. Ricci,"Nuance Communications Inc provides speech, imaging and keypad solutions for businesses, organizations and consumers worldwide.",http://www.nuance.com,5.3861878E9,4307293,0.934232,19.04
TEL,TE Connectivity Ltd. New Switzerland Registered Shares,Technology,Computer Hardware,New York Stock Exchange,,"TE Connectivity Ltd is an electronic component producer. The company manufactures and designs products such as antennas, cable assemblies, fiber optics, sensors, relays and switches that are used in various application.",http://www.te.com,2.33672028E10,2494301,1.139123,70.58
MLM,Martin Marietta Materials Inc.,Basic Materials,Building Materials,New York Stock Exchange,C. Howard Nye,"Martin Marietta Materials Inc is a natural-resource-based building materials company. It supplies aggregates products used for the construction of infrastructure, nonresidential, and residential projects.",http://www.martinmarietta.com,1.1595393E10,863034,1.100337,186.59
GWW,W.W. Grainger Inc.,Industrials,Industrial Distribution,New York Stock Exchange,Donald G. Macpherson,"W.W. Grainger Inc is a broad line, a business-to-business distributor of maintenance, repair and operating (MRO) supplies and other related products and services. Its services consist of contact centers, catalogs, inventory management solution and others.",http://www.grainger.com,1.43112182E10,424696,0.970489,267.66
PBF,PBF Energy Inc. Class A,Energy,Oil & Gas - Refining & Marketing,New York Stock Exchange,Thomas J. Nimbley,PBF Energy Inc is engaged in the oil and gas sector. It is a petroleum refiner and supplier of unbranded transportation fuels.,http://www.pbfenergy.com,1.15307507E9,4486444,1.599494,9.61
AGN,Allergan plc,Healthcare,Drug Manufacturers,New York Stock Exchange,Brenton L. Saunders,"Allergan PLC is a specialty pharmaceutical company engaged in the development, manufacturing, marketing, and distribution of brand name pharmaceutical products, medical aesthetics, biosimilar and OTC pharmaceutical products.",http://www.allergan.com,6.2569804E10,4152207,1.640809,189.74
GT,The Goodyear Tire & Rubber Company,Consumer Cyclical,Autos,Nasdaq Global Select,Richard J. Kramer,"Goodyear Tire & Rubber Co is engaged in manufacturing of tires for various applications. The company's products are used in automobiles, trucks, buses, and others. It also manufactures and markets rubber-related chemicals for various applications.",http://www.goodyear.com,1.54272141E9,6955992,1.731871,6.63
EA,Electronic Arts Inc.,Technology,Application Software,Nasdaq Global Select,Andrew Wilson,"Electronic Arts Inc operates in the technology sector. It develops, markets, publishes and distributes video game software and content of various platforms.",http://www.ea.com,3.28113705E10,3920587,0.919898,113.27
CMI,Cummins Inc.,Industrials,Industrial Products,New York Stock Exchange,N. Thomas Linebarger,"Cummins Inc designs, manufactures, distributes, and services diesel and natural gas engines and engine-related component products, including filtration, after treatment, turbochargers, fuel systems, controls systems, air handling systems, and others.",http://www.cummins.com,2.32250163E10,1591571,1.155986,157.43
CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas - E&P,New York Stock Exchange,Steve W. Laut,"Canadian Natural Resources Ltd is an oil and natural gas producers in Western Canada. Its portfolio includes light and medium oil, heavy oil, bitumen, synthetic oil, natural gas liquids, and natural gas.",http://www.cnrl.com,1.85108787E10,6042112,1.876923,15.64
HCA,HCA Healthcare Inc.,Healthcare,Health Care Providers,New York Stock Exchange,R. Milton Johnson,"HCA Healthcare Inc is a health care services company. It operates general acute care hospitals, psychiatric hospitals, and rehabilitation hospitals. The company also operates freestanding surgery centers.",http://www.hcahealthcare.com,3.549186E10,3152133,0.919898,104.86
INXN,InterXion Holding N.V. (0.01 nominal value),Technology,Online Media,New York Stock Exchange,David Ruberg,"InterXion Holding NV provides cloud- & carrier-neutral colocation data centre services in Europe. It offers services including space, power, cooling & a secure environment in which to house its customers' computing, network, storage and IT infrastructure.",http://www.interxion.com,5.9447475E9,1880677,0.901349,77.41
